,label,count
264,155852,31
265,83066,31
266,56238,31
267,47879,31
268,58585,31
269,89562,31
270,154895,31
271,89622,31
272,10661,31
273,89443,31
274,9967,31
275,103370,31
276,52111,31
277,13762,31
278,79424,31
279,122441,31
280,11947,31
281,76990,31
282,161465,31
283,95651,31
284,120835,31
285,10571,31
286,69687,31
287,140403,31
288,23,31
289,34490,31
290,28096,31
291,39858,31
292,24083,31
293,209504,30
294,30384,30
295,82391,30
296,8436,30
297,21822,30
298,58621,30
299,131332,30
300,29008,30
301,71786,30
302,19238,30
303,37956,30
304,6507,30
305,125560,30
306,54231,30
307,54381,30
308,78398,30
309,72217,30
310,32887,30
311,114187,30
312,150783,30
313,899,30
314,103830,30
315,128793,30
316,83964,30
317,193597,30
318,123057,30
319,66944,30
320,4551,29
321,67058,29
322,9163,29
323,30139,29
324,222148,29
325,28120,29
326,62114,29
327,47852,29
328,130848,29
329,25626,29
330,3226,29
331,78718,29
332,55215,29
333,59746,29
334,17671,29
335,109632,29
336,55834,29
337,46710,29
338,49135,29
339,38949,29
340,59623,29
341,37379,29
342,41300,29
343,50194,29
344,53065,29
345,161651,29
346,85468,29
347,83174,29
348,59889,29
349,6157,29
350,1285,29
351,73075,29
352,53516,29
353,1411,29
354,1447,28
355,17919,28
356,34176,28
357,97347,28
358,109378,28
359,37998,28
360,99213,28
361,51333,28
362,4632,28
363,66720,28
364,145744,28
365,74591,28
366,111220,28
367,137056,28
368,48570,28
369,253008,28
370,44440,28
371,77145,28
372,52811,28
373,85139,28
374,84819,28
375,142128,28
376,10831,28
377,62907,28
378,5179,28
379,32301,28
380,89634,28
381,26909,28
382,6007,28
383,74684,28
384,14761,28
385,84284,28
386,46288,28
387,16555,28
388,1106,28
389,26030,28
390,59590,28
391,82274,27
392,132131,27
393,5287,27
394,38644,27
395,696,27
396,15033,27
397,8089,27
398,67695,27
399,248083,27
400,226353,27
401,34843,27
402,100810,27
403,82615,27
404,104596,27
405,43211,27
406,89102,27
407,34849,27
408,109665,27
409,27647,27
410,86030,27
411,175001,27
412,2111,27
413,54614,27
414,61666,27
415,114582,27
416,112976,27
417,135576,27
418,88458,27
419,97069,27
420,54363,27
421,70925,27
422,6970,27
423,54336,27
424,77169,27
425,69660,27
426,198540,27
427,208690,27
428,669,27
429,13460,26
430,92152,26
431,18287,26
432,2470,26
433,144476,26
434,21684,26
435,165847,26
436,55870,26
437,66708,26
438,163649,26
439,127223,26
440,12156,26
441,1955,26
442,73374,26
443,89643,26
444,137137,26
445,132202,26
446,23972,26
447,63209,26
448,71517,26
449,2831,26
450,261047,26
451,26194,26
452,34957,26
453,122863,26
454,199231,26
455,63918,26
456,104668,26
457,7084,26
458,39434,26
459,28892,26
460,54270,26
461,99895,26
462,114286,26
463,43456,26
464,78300,26
465,44431,26
466,117282,26
467,729,26
468,40453,26
469,3026,26
470,79825,26
471,84729,26
472,26475,26
473,12763,26
474,37846,26
475,26038,26
476,56489,26
477,66179,26
478,472,26
479,116744,26
480,135402,26
481,128231,26
482,38342,26
483,108154,26
484,91820,26
485,58289,25
486,119923,25
487,21244,25
488,66971,25
489,126948,25
490,52673,25
491,36410,25
492,145418,25
493,80166,25
494,6447,25
495,69477,25
496,142619,25
497,117112,25
498,71795,25
499,50496,25
500,237409,25
501,60260,25
502,92322,25
503,128078,25
504,35016,25
505,61660,25
506,57261,25
507,75402,25
508,39039,25
509,86204,25
510,18601,25
511,49512,25
512,8959,25
513,115413,25
514,98106,25
515,12135,25
516,34167,25
517,63003,25
518,219821,25
519,125318,25
520,98513,25
521,19121,25
522,28135,25
523,56516,25
524,2206,25
525,151142,25
526,10930,25
527,37146,25
528,70575,25
529,163559,25
530,18709,25
531,46701,25
532,774,25
533,19277,25
534,105260,25
535,141928,25
536,146136,25
537,15670,25
538,4461,25
539,81170,25
540,46055,25
541,27636,25
542,53352,25
543,166561,25
544,4363,25
545,144266,25
546,3304,25
547,127591,25
548,116089,25
549,157712,25
550,7120,25
551,110114,25
552,101779,25
553,1851,25
554,78811,25
555,93561,25
556,103771,24
557,29588,24
558,7826,24
559,20790,24
560,31622,24
561,42502,24
562,94826,24
563,44876,24
564,124146,24
565,174182,24
566,128745,24
567,182498,24
568,4049,24
569,129448,24
570,39335,24
571,68272,24
572,88641,24
573,23009,24
574,120189,24
575,29352,24
576,104907,24
577,1474,24
578,21310,24
579,136240,24
580,68951,24
581,102721,24
582,93187,24
583,44924,24
584,151791,24
585,20497,24
586,42888,24
587,13992,24
588,82866,24
589,68903,24
590,231664,24
591,98393,24
592,49940,24
593,134101,24
594,1366,24
595,54982,24
596,51635,24
597,26903,24
598,95714,24
599,59282,24
600,3681,24
601,58418,24
602,77017,24
603,85453,24
604,63131,24
605,122217,24
606,9172,24
607,199144,24
608,105723,24
609,107171,24
610,7371,24
611,7772,24
612,48240,24
613,6283,24
614,19938,24
615,74005,24
616,46865,24
617,244123,24
618,62210,24
619,168709,24
620,13954,24
621,37361,24
622,62931,24
623,103406,24
624,91228,23
625,9809,23
626,17094,23
627,117767,23
628,121439,23
629,39308,23
630,14528,23
631,80202,23
632,74714,23
633,38019,23
634,2667,23
635,116843,23
636,125575,23
637,96764,23
638,93196,23
